version,malla_M,malla_N,hilos,caso,schedule,tiempo
poisson_sincronizacion,50,50,4,1,N/A,0.0339473
poisson_sincronizacion,50,50,8,1,N/A,0.0400803
poisson_sincronizacion,50,50,16,1,N/A,0.0553603
poisson_sincronizacion,50,50,1,2,N/A,0.0318799
poisson_sincronizacion,50,50,2,2,N/A,0.0223438
poisson_sincronizacion,50,50,4,2,N/A,0.027221
poisson_sincronizacion,50,50,8,2,N/A,0.0323674
poisson_sincronizacion,50,50,16,2,N/A,0.0722395
poisson_sincronizacion,100,100,1,1,N/A,0.458926
poisson_sincronizacion,100,100,2,1,N/A,0.400299
poisson_sincronizacion,100,100,4,1,N/A,0.31048
poisson_sincronizacion,100,100,8,1,N/A,0.317646
poisson_sincronizacion,100,100,16,1,N/A,0.517515
poisson_sincronizacion,100,100,1,2,N/A,0.43841
poisson_sincronizacion,100,100,2,2,N/A,0.342947
poisson_sincronizacion,100,100,4,2,N/A,0.2595
poisson_sincronizacion,100,100,8,2,N/A,0.295706
poisson_sincronizacion,100,100,16,2,N/A,0.444045
poisson_schedule,10,10,1,1,static,0.000418326
poisson_schedule,10,10,1,1,dynamic,0.000550561
poisson_schedule,10,10,2,1,static,0.000654246
poisson_schedule,10,10,2,1,dynamic,0.00264258
poisson_schedule,10,10,4,1,static,0.00104747
poisson_schedule,10,10,4,1,dynamic,0.00206819
poisson_schedule,10,10,8,1,static,0.00149986
poisson_schedule,10,10,8,1,dynamic,0.00204895
poisson_schedule,10,10,16,1,static,0.0212261
poisson_schedule,10,10,16,1,dynamic,0.00221219
poisson_schedule,10,10,1,2,static,0.000189938
poisson_schedule,10,10,1,2,dynamic,0.000342503
poisson_schedule,10,10,2,2,static,0.000608274
poisson_schedule,10,10,2,2,dynamic,0.0025051
poisson_schedule,10,10,4,2,static,0.000622075
poisson_schedule,10,10,4,2,dynamic,0.0019358
poisson_schedule,10,10,8,2,static,0.00106721
poisson_schedule,10,10,8,2,dynamic,0.00194748
poisson_schedule,10,10,16,2,static,0.00152862
poisson_schedule,10,10,16,2,dynamic,0.00425392
poisson_schedule,50,50,1,1,static,0.141515
poisson_schedule,50,50,1,1,dynamic,0.256395
poisson_schedule,50,50,2,1,static,0.14204
poisson_schedule,50,50,2,1,dynamic,0.948643
poisson_schedule,50,50,4,1,static,0.0848692
poisson_schedule,50,50,4,1,dynamic,0.810535
poisson_schedule,50,50,8,1,static,0.0632948
poisson_schedule,50,50,8,1,dynamic,0.599068
poisson_schedule,50,50,16,1,static,0.0750749
poisson_schedule,50,50,16,1,dynamic,0.598999
poisson_schedule,50,50,1,2,static,0.0441127
poisson_schedule,50,50,1,2,dynamic,0.130919
poisson_schedule,50,50,2,2,static,0.0278537
poisson_schedule,50,50,2,2,dynamic,1.16265
poisson_schedule,50,50,4,2,static,0.033184
poisson_schedule,50,50,4,2,dynamic,0.792191
poisson_schedule,50,50,8,2,static,0.0425886
poisson_schedule,50,50,8,2,dynamic,0.574373
poisson_schedule,50,50,16,2,static,0.0609603
poisson_schedule,50,50,16,2,dynamic,0.450666
poisson_schedule,100,100,1,1,static,1.9184
