x,y,V_teorica
0,0.99497487,0.989975
0,1,1
0.010050251,0,0.00010100755
0.010050251,0.0050251256,2.5251888e-05
0.010050251,0.010050251,0
0.010050251,0.015075377,2.5251888e-05
0.010050251,0.020100503,0.00010100755
0.010050251,0.025125628,0.00022726699
0.010050251,0.030150754,0.0004040302
0.010050251,0.035175879,0.00063129719
0.010050251,0.040201005,0.00090906795
0.010050251,0.045226131,0.0012373425
0.010050251,0.050251256,0.0016161208
0.010050251,0.055276382,0.0020454029
0.010050251,0.060301508,0.0025251888
0.010050251,0.065326633,0.0030554784
0.010050251,0.070351759,0.0036362718
0.010050251,0.075376884,0.004267569
0.010050251,0.08040201,0.00494937
0.010050251,0.085427136,0.0056816747
0.010050251,0.090452261,0.0064644832
0.010050251,0.095477387,0.0072977955
0.010050251,0.10050251,0.0081816116
0.010050251,0.10552764,0.0091159314
0.010050251,0.11055276,0.010100755
0.010050251,0.11557789,0.011136082
0.010050251,0.12060302,0.012221914
0.010050251,0.12562814,0.013358249
0.010050251,0.13065327,0.014545087
0.010050251,0.13567839,0.01578243
0.010050251,0.14070352,0.017070276
0.010050251,0.14572864,0.018408626
0.010050251,0.15075377,0.01979748
0.010050251,0.15577889,0.021236837
0.010050251,0.16080402,0.022726699
0.010050251,0.16582915,0.024267064
0.010050251,0.17085427,0.025857933
0.010050251,0.1758794,0.027499306
0.010050251,0.18090452,0.029191182
0.010050251,0.18592965,0.030933562
0.010050251,0.19095477,0.032726446
0.010050251,0.1959799,0.034569834
0.010050251,0.20100503,0.036463726
0.010050251,0.20603015,0.038408121
0.010050251,0.21105528,0.04040302
0.010050251,0.2160804,0.042448423
0.010050251,0.22110553,0.04454433
0.010050251,0.22613065,0.04669074
0.010050251,0.23115578,0.048887654
0.010050251,0.2361809,0.051135072
0.010050251,0.24120603,0.053432994
0.010050251,0.24623116,0.05578142
0.010050251,0.25125628,0.058180349
0.010050251,0.25628141,0.060629782
0.010050251,0.26130653,0.063129719
0.010050251,0.26633166,0.06568016
0.010050251,0.27135678,0.068281104
0.010050251,0.27638191,0.070932552
0.010050251,0.28140704,0.073634504
0.010050251,0.28643216,0.07638696
0.010050251,0.29145729,0.079189919
0.010050251,0.29648241,0.082043383
0.010050251,0.30150754,0.08494735
0.010050251,0.30653266,0.087901821
0.010050251,0.31155779,0.090906795
0.010050251,0.31658291,0.093962274
0.010050251,0.32160804,0.097068256
0.010050251,0.32663317,0.10022474
0.010050251,0.33165829,0.10343173
0.010050251,0.33668342,0.10668923
0.010050251,0.34170854,0.10999722
0.010050251,0.34673367,0.11335572
0.010050251,0.35175879,0.11676473
0.010050251,0.35678392,0.12022424
0.010050251,0.36180905,0.12373425
0.010050251,0.36683417,0.12729477
0.010050251,0.3718593,0.13090579
0.010050251,0.37688442,0.13456731
0.010050251,0.38190955,0.13827934
0.010050251,0.38693467,0.14204187
0.010050251,0.3919598,0.1458549
0.010050251,0.39698492,0.14971844
0.010050251,0.40201005,0.15363248
0.010050251,0.40703518,0.15759703
0.010050251,0.4120603,0.16161208
0.010050251,0.41708543,0.16567763
0.010050251,0.42211055,0.16979369
0.010050251,0.42713568,0.17396025
0.010050251,0.4321608,0.17817732
0.010050251,0.43718593,0.18244489
0.010050251,0.44221106,0.18676296
0.010050251,0.44723618,0.19113154
0.010050251,0.45226131,0.19555062
0.010050251,0.45728643,0.2000202
0.010050251,0.46231156,0.20454029
0.010050251,0.46733668,0.20911088
