x,y,V,Exact,Error
0,0,0,-inf,inf
0.04,0,-6.43775,-6.43775,0
0.08,0,-5.05146,-5.05146,0
0.12,0,-4.24053,-4.24053,0
0.16,0,-3.66516,-3.66516,0
0.2,0,-3.21888,-3.21888,0
0.24,0,-2.85423,-2.85423,0
0.28,0,-2.54593,-2.54593,0
0.32,0,-2.27887,-2.27887,0
0.36,0,-2.0433,-2.0433,0
0.4,0,-1.83258,-1.83258,0
0.44,0,-1.64196,-1.64196,0
0.48,0,-1.46794,-1.46794,0
0.52,0,-1.30785,-1.30785,0
0.56,0,-1.15964,-1.15964,0
0.6,0,-1.02165,-1.02165,0
0.64,0,-0.892574,-0.892574,0
0.68,0,-0.771325,-0.771325,-1.11022e-16
0.72,0,-0.657008,-0.657008,0
0.76,0,-0.548874,-0.548874,0
0.8,0,-0.446287,-0.446287,-1.11022e-16
0.84,0,-0.348707,-0.348707,5.55112e-17
0.88,0,-0.255667,-0.255667,5.55112e-17
0.92,0,-0.166763,-0.166763,2.77556e-17
0.96,0,-0.081644,-0.081644,-4.16334e-17
1,0,0,0,0
1.04,0,0.0784414,0.0784414,-4.16334e-17
1.08,0,0.153922,0.153922,5.55112e-17
1.12,0,0.226657,0.226657,5.55112e-17
1.16,0,0.29684,0.29684,-5.55112e-17
1.2,0,0.364643,0.364643,-5.55112e-17
1.24,0,0.430223,0.430223,-5.55112e-17
1.28,0,0.49372,0.49372,0
1.32,0,0.555263,0.555263,0
1.36,0,0.614969,0.614969,0
1.4,0,0.672944,0.672944,-1.11022e-16
1.44,0,0.729286,0.729286,0
1.48,0,0.784084,0.784084,0
1.52,0,0.837421,0.837421,0
1.56,0,0.889372,0.889372,0
1.6,0,0.940007,0.940007,0
1.64,0,0.989392,0.989392,0
1.68,0,1.03759,1.03759,0
1.72,0,1.08465,1.08465,2.22045e-16
1.76,0,1.13063,1.13063,2.22045e-16
1.8,0,1.17557,1.17557,0
1.84,0,1.21953,1.21953,0
1.88,0,1.26254,1.26254,-2.22045e-16
1.92,0,1.30465,1.30465,0
1.96,0,1.34589,1.34589,0
2,0,1.38629,1.38629,0
0,0.02,0.00039992,-7.82405,7.82445
0.04,0.02,-4.07798,-6.21461,2.13663
0.08,0.02,-4.12161,-4.99083,0.869225
0.12,0.02,-3.73629,-4.21313,0.476836
0.16,0.02,-3.34308,-3.64966,0.306583
0.2,0.02,-2.99342,-3.20893,0.215501
0.24,0.02,-2.68717,-2.84731,0.160138
0.28,0.02,-2.41728,-2.54084,0.123561
0.32,0.02,-2.17703,-2.27497,0.0979443
0.36,0.02,-1.961,-2.04022,0.0792161
0.4,0.02,-1.76502,-1.83008,0.065066
0.44,0.02,-1.5858,-1.6399,0.0540949
0.48,0.02,-1.42079,-1.4662,0.0454104
0.52,0.02,-1.26796,-1.30637,0.038419
0.56,0.02,-1.12565,-1.15836,0.032712
0.6,0.02,-0.992541,-1.02054,0.0279995
0.64,0.02,-0.867527,-0.891598,0.0240707
0.68,0.02,-0.749692,-0.77046,0.0207687
0.72,0.02,-0.638262,-0.656237,0.0179745
0.76,0.02,-0.532585,-0.548181,0.0155964
0.8,0.02,-0.4321,-0.445662,0.0135624
0.84,0.02,-0.336325,-0.34814,0.0118154
0.88,0.02,-0.244841,-0.25515,0.0103096
0.92,0.02,-0.157283,-0.166291,0.00900755
0.96,0.02,-0.0733313,-0.0812101,0.00787871
1,0.02,0.00729765,0.00039992,0.00689773
1.04,0.02,0.0848547,0.0788112,0.00604352
1.08,0.02,0.159563,0.154265,0.00529832
1.12,0.02,0.231623,0.226976,0.00464718
1.16,0.02,0.301215,0.297137,0.00407737
1.2,0.02,0.368499,0.364921,0.00357806
1.24,0.02,0.433623,0.430483,0.00313993
1.28,0.02,0.496719,0.493964,0.00275501
1.32,0.02,0.557909,0.555493,0.00241638
1.36,0.02,0.617304,0.615186,0.00211805
1.4,0.02,0.675003,0.673149,0.00185484
1.44,0.02,0.731101,0.729479,0.00162221
1.48,0.02,0.785683,0.784267,0.0014162
1.52,0.02,0.838827,0.837594,0.00123332
1.56,0.02,0.890607,0.889536,0.00107053
1.6,0.02,0.941089,0.940163,0.000925107
1.64,0.02,0.990336,0.989541,0.000794662
1.68,0.02,1.03841,1.03773,0.000677053
1.72,0.02,1.08535,1.08478,0.00057036
1.76,0.02,1.13123,1.13076,0.000472848
1.8,0.02,1.17608,1.1757,0.000382942
1.84,0.02,1.21995,1.21965,0.000299192
1.88,0.02,1.26288,1.26266,0.000220253
1.92,0.02,1.3049,1.30476,0.000144863
1.96,0.02,1.34606,1.34599,7.18249e-05
2,0.02,1.38639,1.38639,0
0,0.04,0.00159872,-6.43775,6.43935
0.04,0.04,-2.7269,-5.7446,3.01771
0.08,0.04,-3.29899,-4.82831,1.52932
0.12,0.04,-3.23403,-4.13517,0.901134
0.16,0.04,-3.0101,-3.60454,0.59444
0.2,0.04,-2.75712,-3.17966,0.422532
0.24,0.04,-2.51103,-2.82683,0.315807
0.28,0.04,-2.28122,-2.52573,0.244506
0.32,0.04,-2.06912,-2.26336,0.19424
0.36,0.04,-1.8737,-2.03103,0.157334
0.4,0.04,-1.69326,-1.82263,0.129368
0.44,0.04,-1.52609,-1.63373,0.107639
0.48,0.04,-1.37061,-1.46102,0.0904124
0.52,0.04,-1.22543,-1.30195,0.0765276
0.56,0.04,-1.08936,-1.15455,0.0651833
0.6,0.04,-0.961407,-1.01722,0.0558092
0.64,0.04,-0.840686,-0.888676,0.0479894
0.68,0.04,-0.726457,-0.767871,0.0414141
0.72,0.04,-0.618078,-0.653926,0.035848
0.76,0.04,-0.514998,-0.546107,0.0311091
0.8,0.04,-0.416735,-0.44379,0.027055
0.84,0.04,-0.32287,-0.346442,0.0235722
0.88,0.04,-0.233033,-0.253603,0.0205696
0.92,0.04,-0.146902,-0.164875,0.0179729
0.96,0.04,-0.064188,-0.0799094,0.0157214
1,0.04,0.0153633,0.00159872,0.0137646
1.04,0.04,0.0919801,0.0799196,0.0120605
1.08,0.04,0.165867,0.155293,0.0105737
1.12,0.04,0.237207,0.227932,0.00927453
1.16,0.04,0.306166,0.298028,0.00813756
1.2,0.04,0.372895,0.365754,0.0071412
1.24,0.04,0.43753,0.431263,0.00626691
1.28,0.04,0.500195,0.494696,0.00549874
1.32,0.04,0.561004,0.556181,0.00482294
1.36,0.04,0.620062,0.615834,0.00422756
1.4,0.04,0.677463,0.67376,0.00370225
1.44,0.04,0.733295,0.730058,0.00323795
1.48,0.04,0.787641,0.784814,0.00282677
1.52,0.04,0.840575,0.838113,0.00246177
1.56,0.04,0.892166,0.890029,0.00213684
1.6,0.04,0.942479,0.940632,0.00184659
1.64,0.04,0.991573,0.989987,0.00158623
1.68,0.04,1.03951,1.03815,0.00135148
1.72,0.04,1.08633,1.08519,0.00113851
1.76,0.04,1.13209,1.13114,0.000943879
1.8,0.04,1.17683,1.17607,0.000764422
1.84,0.04,1.2206,1.22,0.000597251
1.88,0.04,1.26344,1.263,0.000439682
1.92,0.04,1.30537,1.30508,0.000289197
1.96,0.04,1.34645,1.34631,0.000143401
2,0.04,1.38669,1.38669,0
0,0.06,0.00359354,-5.62682,5.63041
0.04,0.06,-1.91492,-5.2591,3.34418
0.08,0.06,-2.63564,-4.60517,1.96953
0.12,0.06,-2.77152,-4.01738,1.24587
0.16,0.06,-2.68438,-3.53359,0.849206
0.2,0.06,-2.5191,-3.1327,0.613597
0.24,0.06,-2.33081,-2.79361,0.462801
0.28,0.06,-2.14074,-2.50104,0.360299
0.32,0.06,-1.95705,-2.24432,0.287262
0.36,0.06,-1.78264,-2.0159,0.233259
0.4,0.06,-1.61819,-1.81033,0.192139
0.44,0.06,-1.46346,-1.62354,0.160078
0.48,0.06,-1.31784,-1.45243,0.134593
0.52,0.06,-1.18062,-1.29463,0.114012
0.56,0.06,-1.05105,-1.14822,0.0971699
0.6,0.06,-0.928465,-1.0117,0.0832362
0.64,0.06,-0.812222,-0.883824,0.0716016
0.68,0.06,-0.701759,-0.76357,0.0618109
