x,y,V
1.5,0.25,29.7756
1.55,0.25,31.0671
1.6,0.25,32.3884
1.65,0.25,33.7407
1.7,0.25,35.1261
1.75,0.25,36.5471
1.8,0.25,38.0076
1.85,0.25,39.5122
1.9,0.25,41.0654
1.95,0.25,42.669
2,0.25,44.3178
0,0.3,1
0.05,0.3,1.06565
0.1,0.3,2.13066
0.15,0.3,3.19469
0.2,0.3,4.25762
0.25,0.3,5.31956
0.3,0.3,6.38093
0.35,0.3,7.44243
0.4,0.3,8.50507
0.45,0.3,9.57013
0.5,0.3,10.6391
0.55,0.3,11.7137
0.6,0.3,12.7957
0.65,0.3,13.887
0.7,0.3,14.9898
0.75,0.3,16.1059
0.8,0.3,17.2374
0.85,0.3,18.3862
0.9,0.3,19.5544
0.95,0.3,20.7438
1,0.3,21.9561
1.05,0.3,23.1931
1.1,0.3,24.4562
1.15,0.3,25.7469
1.2,0.3,27.0664
1.25,0.3,28.416
1.3,0.3,29.7965
1.35,0.3,31.2088
1.4,0.3,32.6535
1.45,0.3,34.1311
1.5,0.3,35.6419
1.55,0.3,37.1863
1.6,0.3,38.7644
1.65,0.3,40.3764
1.7,0.3,42.0226
1.75,0.3,43.7032
1.8,0.3,45.4184
1.85,0.3,47.1677
1.9,0.3,48.9488
1.95,0.3,50.7562
2,0.3,52.5783
0,0.35,1
0.05,0.35,1.24395
0.1,0.35,2.48689
0.15,0.35,3.72823
0.2,0.35,4.96768
0.25,0.35,6.20528
0.3,0.35,7.44147
0.35,0.35,8.67709
0.4,0.35,9.91336
0.45,0.35,11.1518
0.5,0.35,12.3944
0.55,0.35,13.643
0.6,0.35,14.9
0.65,0.35,16.1677
0.7,0.35,17.4485
0.75,0.35,18.7448
0.8,0.35,20.0591
0.85,0.35,21.3937
0.9,0.35,22.7509
0.95,0.35,24.133
1,0.35,25.542
1.05,0.35,26.98
1.1,0.35,28.4487
1.15,0.35,29.9499
1.2,0.35,31.4849
1.25,0.35,33.0553
1.3,0.35,34.6619
1.35,0.35,36.3057
1.4,0.35,37.9874
1.45,0.35,39.7073
1.5,0.35,41.4655
