x,y,V
0,0,1
0.02,0,1
0.04,0,1
0.06,0,1
0.08,0,1
0.1,0,1
0.12,0,1
0.14,0,1
0.16,0,1
0.18,0,1
0.2,0,1
0.22,0,1
0.24,0,1
0.26,0,1
0.28,0,1
0.3,0,1
0.32,0,1
0.34,0,1
0.36,0,1
0.38,0,1
0.4,0,1
0.42,0,1
0.44,0,1
0.46,0,1
0.48,0,1
0.5,0,1
0.52,0,1
0.54,0,1
0.56,0,1
0.58,0,1
0.6,0,1
0.62,0,1
0.64,0,1
0.66,0,1
0.68,0,1
0.7,0,1
0.72,0,1
0.74,0,1
0.76,0,1
0.78,0,1
0.8,0,1
0.82,0,1
0.84,0,1
0.86,0,1
0.88,0,1
0.9,0,1
0.92,0,1
0.94,0,1
0.96,0,1
0.98,0,1
1,0,1
1.02,0,1
1.04,0,1
1.06,0,1
1.08,0,1
1.1,0,1
1.12,0,1
1.14,0,1
1.16,0,1
1.18,0,1
1.2,0,1
1.22,0,1
1.24,0,1
1.26,0,1
1.28,0,1
1.3,0,1
1.32,0,1
1.34,0,1
1.36,0,1
1.38,0,1
1.4,0,1
1.42,0,1
1.44,0,1
1.46,0,1
1.48,0,1
1.5,0,1
1.52,0,1
1.54,0,1
1.56,0,1
1.58,0,1
1.6,0,1
1.62,0,1
1.64,0,1
1.66,0,1
1.68,0,1
1.7,0,1
1.72,0,1
1.74,0,1
1.76,0,1
1.78,0,1
1.8,0,1
1.82,0,1
1.84,0,1
1.86,0,1
1.88,0,1
1.9,0,1
1.92,0,1
1.94,0,1
1.96,0,1
1.98,0,1
2,0,1
0,0.01,1
0.02,0.01,2.23814
0.04,0.01,3.47775
0.06,0.01,4.7209
0.08,0.01,5.96963
0.1,0.01,7.22592
0.12,0.01,8.49177
0.14,0.01,9.76914
0.16,0.01,11.06
0.18,0.01,12.3661
0.2,0.01,13.6895
0.22,0.01,15.032
0.24,0.01,16.3954
0.26,0.01,17.7815
0.28,0.01,19.1919
0.3,0.01,20.6284
0.32,0.01,22.0926
0.34,0.01,23.5861
0.36,0.01,25.1103
0.38,0.01,26.6668
0.4,0.01,28.257
0.42,0.01,29.8821
0.44,0.01,31.5435
0.46,0.01,33.2423
0.48,0.01,34.9797
0.5,0.01,36.7567
0.52,0.01,38.5741
0.54,0.01,40.433
0.56,0.01,42.3339
0.58,0.01,44.2777
0.6,0.01,46.2649
0.62,0.01,48.2959
0.64,0.01,50.3711
0.66,0.01,52.4908
0.68,0.01,54.6549
0.7,0.01,56.8635
0.72,0.01,59.1164
0.74,0.01,61.4134
0.76,0.01,63.7538
0.78,0.01,66.1372
0.8,0.01,68.5626
0.82,0.01,71.0292
0.84,0.01,73.5357
0.86,0.01,76.0808
0.88,0.01,78.6628
0.9,0.01,81.28
0.92,0.01,83.9302
0.94,0.01,86.6112
0.96,0.01,89.3204
0.98,0.01,92.0549
1,0.01,94.8116
1.02,0.01,97.5869
1.04,0.01,100.377
1.06,0.01,103.178
1.08,0.01,105.985
1.1,0.01,108.793
1.12,0.01,111.597
1.14,0.01,114.391
1.16,0.01,117.169
1.18,0.01,119.924
1.2,0.01,122.649
1.22,0.01,125.336
1.24,0.01,127.977
1.26,0.01,130.562
1.28,0.01,133.083
1.3,0.01,135.529
1.32,0.01,137.889
1.34,0.01,140.151
1.36,0.01,142.303
1.38,0.01,144.333
1.4,0.01,146.226
1.42,0.01,147.966
1.44,0.01,149.54
1.46,0.01,150.929
1.48,0.01,152.116
1.5,0.01,153.083
1.52,0.01,153.81
1.54,0.01,154.276
1.56,0.01,154.458
1.58,0.01,154.333
1.6,0.01,153.877
1.62,0.01,153.063
1.64,0.01,151.862
1.66,0.01,150.246
1.68,0.01,148.182
1.7,0.01,145.636
1.72,0.01,142.572
1.74,0.01,138.948
1.76,0.01,134.723
1.78,0.01,129.847
1.8,0.01,124.267
1.82,0.01,117.921
1.84,0.01,110.739
1.86,0.01,102.634
1.88,0.01,93.5036
1.9,0.01,83.2123
1.92,0.01,71.5772
1.94,0.01,58.3284
1.96,0.01,43.0182
1.98,0.01,24.7458
2,0.01,1.0202
0,0.02,1
0.02,0.02,3.4753
0.04,0.02,5.95279
0.06,0.02,8.43659
0.08,0.02,10.9307
0.1,0.02,13.4392
0.12,0.02,15.966
0.14,0.02,18.5151
0.16,0.02,21.0902
0.18,0.02,23.6953
0.2,0.02,26.334
0.22,0.02,29.0101
0.24,0.02,31.7272
0.26,0.02,34.4888
0.28,0.02,37.2984
0.3,0.02,40.1594
0.32,0.02,43.0749
0.34,0.02,46.0482
0.36,0.02,49.0823
0.38,0.02,52.1801
0.4,0.02,55.3444
0.42,0.02,58.5779
0.44,0.02,61.883
0.46,0.02,65.2623
0.48,0.02,68.7178
0.5,0.02,72.2517
0.52,0.02,75.8659
0.54,0.02,79.562
0.56,0.02,83.3416
0.58,0.02,87.2061
0.6,0.02,91.1565
0.62,0.02,95.1939
0.64,0.02,99.3188
0.66,0.02,103.532
0.68,0.02,107.833
0.7,0.02,112.222
0.72,0.02,116.7
0.74,0.02,121.264
0.76,0.02,125.915
0.78,0.02,130.65
0.8,0.02,135.47
0.82,0.02,140.37
0.84,0.02,145.35
0.86,0.02,150.406
0.88,0.02,155.535
0.9,0.02,160.734
0.92,0.02,165.998
0.94,0.02,171.323
0.96,0.02,176.704
0.98,0.02,182.134
1,0.02,187.608
1.02,0.02,193.119
1.04,0.02,198.658
1.06,0.02,204.219
1.08,0.02,209.79
1.1,0.02,215.364
1.12,0.02,220.928
1.14,0.02,226.472
1.16,0.02,231.983
1.18,0.02,237.447
1.2,0.02,242.851
1.22,0.02,248.177
1.24,0.02,253.411
1.26,0.02,258.533
1.28,0.02,263.525
1.3,0.02,268.367
1.32,0.02,273.036
1.34,0.02,277.509
1.36,0.02,281.763
1.38,0.02,285.769
1.4,0.02,289.501
1.42,0.02,292.929
1.44,0.02,296.022
1.46,0.02,298.745
1.48,0.02,301.065
1.5,0.02,302.943
1.52,0.02,304.339
1.54,0.02,305.213
1.56,0.02,305.52
1.58,0.02,305.213
1.6,0.02,304.242
1.62,0.02,302.554
1.64,0.02,300.094
1.66,0.02,296.802
1.68,0.02,292.614
1.7,0.02,287.462
1.72,0.02,281.273
1.74,0.02,273.966
1.76,0.02,265.456
1.78,0.02,255.645
1.8,0.02,244.427
1.82,0.02,231.678
1.84,0.02,217.259
1.86,0.02,201
1.88,0.02,182.696
1.9,0.02,162.081
1.92,0.02,138.8
1.94,0.02,112.335
1.96,0.02,81.8591
1.98,0.02,45.856
2,0.02,1.04081
0,0.03,1
0.02,0.03,4.711
0.04,0.03,8.42415
0.06,0.03,12.1456
0.08,0.03,15.8813
0.1,0.03,19.6374
0.12,0.03,23.4198
0.14,0.03,27.2343
0.16,0.03,31.0868
0.18,0.03,34.983
0.2,0.03,38.9285
0.22,0.03,42.9288
0.24,0.03,46.9895
0.26,0.03,51.1158
0.28,0.03,55.3128
0.3,0.03,59.5857
0.32,0.03,63.9393
0.34,0.03,68.3783
0.36,0.03,72.9073
0.38,0.03,77.5307
0.4,0.03,82.2527
0.42,0.03,87.0773
0.44,0.03,92.0082
0.46,0.03,97.0491
0.48,0.03,102.203
0.5,0.03,107.474
0.52,0.03,112.863
0.54,0.03,118.375
0.56,0.03,124.01
0.58,0.03,129.772
0.6,0.03,135.662
0.62,0.03,141.68
0.64,0.03,147.829
0.66,0.03,154.109
0.68,0.03,160.52
0.7,0.03,167.062
0.72,0.03,173.734
0.74,0.03,180.537
0.76,0.03,187.467
0.78,0.03,194.524
0.8,0.03,201.706
0.82,0.03,209.008
0.84,0.03,216.427
0.86,0.03,223.96
0.88,0.03,231.602
0.9,0.03,239.347
0.92,0.03,247.189
0.94,0.03,255.121
0.96,0.03,263.135
0.98,0.03,271.223
1,0.03,279.375
1.02,0.03,287.581
1.04,0.03,295.83
1.06,0.03,304.108
1.08,0.03,312.403
1.1,0.03,320.7
1.12,0.03,328.981
1.14,0.03,337.231
1.16,0.03,345.431
1.18,0.03,353.56
1.2,0.03,361.596
1.22,0.03,369.516
1.24,0.03,377.296
1.26,0.03,384.908
1.28,0.03,392.324
1.3,0.03,399.513
1.32,0.03,406.443
1.34,0.03,413.078
1.36,0.03,419.382
1.38,0.03,425.316
1.4,0.03,430.837
1.42,0.03,435.901
1.44,0.03,440.461
1.46,0.03,444.467
1.48,0.03,447.867
1.5,0.03,450.603
1.52,0.03,452.617
1.54,0.03,453.847
1.56,0.03,454.225
1.58,0.03,453.682
1.6,0.03,452.142
1.62,0.03,449.528
1.64,0.03,445.755
1.66,0.03,440.733
1.68,0.03,434.368
1.7,0.03,426.557
1.72,0.03,417.191
1.74,0.03,406.15
1.76,0.03,393.305
1.78,0.03,378.511
1.8,0.03,361.609
1.82,0.03,342.418
1.84,0.03,320.727
1.86,0.03,296.287
1.88,0.03,268.795
1.9,0.03,237.866
1.92,0.03,202.987
1.94,0.03,163.431
1.96,0.03,118.086
1.98,0.03,65.0901
2,0.03,1.06184
0,0.04,1
0.02,0.04,5.94474
0.04,0.04,10.8908
0.06,0.04,15.8464
0.08,0.04,20.8194
0.1,0.04,25.818
0.12,0.04,30.8501
0.14,0.04,35.9234
0.16,0.04,41.0457
0.18,0.04,46.2247
0.2,0.04,51.4679
0.22,0.04,56.7827
0.24,0.04,62.1763
0.26,0.04,67.6558
0.28,0.04,73.2281
0.3,0.04,78.9
0.32,0.04,84.6778
0.34,0.04,90.5681
0.36,0.04,96.5767
0.38,0.04,102.71
0.4,0.04,108.972
0.42,0.04,115.37
0.44,0.04,121.909
0.46,0.04,128.592
0.48,0.04,135.425
0.5,0.04,142.411
0.52,0.04,149.555
0.54,0.04,156.859
0.56,0.04,164.328
0.58,0.04,171.963
0.6,0.04,179.767
0.62,0.04,187.741
0.64,0.04,195.888
0.66,0.04,204.208
0.68,0.04,212.701
0.7,0.04,221.367
0.72,0.04,230.206
0.74,0.04,239.217
0.76,0.04,248.397
0.78,0.04,257.744
0.8,0.04,267.255
0.82,0.04,276.925
0.84,0.04,286.752
0.86,0.04,296.727
0.88,0.04,306.847
0.9,0.04,317.102
0.92,0.04,327.485
0.94,0.04,337.987
0.96,0.04,348.598
0.98,0.04,359.305
1,0.04,370.097
1.02,0.04,380.959
1.04,0.04,391.877
1.06,0.04,402.833
1.08,0.04,413.81
1.1,0.04,424.787
1.12,0.04,435.744
1.14,0.04,446.657
1.16,0.04,457.502
1.18,0.04,468.251
1.2,0.04,478.876
1.22,0.04,489.345
1.24,0.04,499.626
1.26,0.04,509.682
1.28,0.04,519.476
1.3,0.04,528.966
1.32,0.04,538.109
1.34,0.04,546.859
1.36,0.04,555.167
1.38,0.04,562.98
1.4,0.04,570.242
1.42,0.04,576.894
