x,y,V,Exact,Error,Boundary
0.64,0.04,-0.888872,-0.888676,-0.000196563,0
0.68,0.04,-0.768049,-0.767871,-0.000178688,0
0.72,0.04,-0.65409,-0.653926,-0.00016312,0
0.76,0.04,-0.546257,-0.546107,-0.000149494,0
0.8,0.04,-0.443928,-0.44379,-0.00013751,0
0.84,0.04,-0.346569,-0.346442,-0.000126919,0
0.88,0.04,-0.25372,-0.253603,-0.000117516,0
0.92,0.04,-0.164984,-0.164875,-0.000109131,0
0.96,0.04,-0.080011,-0.0799094,-0.000101621,0
1,0.04,0.00150385,0.00159872,-9.48689e-05,0
1.04,0.04,0.0798308,0.0799196,-8.87744e-05,0
1.08,0.04,0.15521,0.155293,-8.32538e-05,0
1.12,0.04,0.227854,0.227932,-7.8236e-05,0
1.16,0.04,0.297955,0.298028,-7.36607e-05,0
1.2,0.04,0.365684,0.365754,-6.94764e-05,0
1.24,0.04,0.431197,0.431263,-6.56388e-05,0
1.28,0.04,0.494634,0.494696,-6.211e-05,0
1.32,0.04,0.556122,0.556181,-5.8857e-05,0
1.36,0.04,0.615778,0.615834,-5.58514e-05,0
1.4,0.04,0.673707,0.67376,-5.30683e-05,0
1.44,0.04,0.730007,0.730058,-5.04861e-05,0
1.48,0.04,0.784766,0.784814,-4.80858e-05,0
1.52,0.04,0.838067,0.838113,-4.58506e-05,0
1.56,0.04,0.889985,0.890029,-4.37658e-05,0
1.6,0.04,0.94059,0.940632,-4.18183e-05,0
1.64,0.04,0.989947,0.989987,-3.99965e-05,0
1.68,0.04,1.03812,1.03815,-3.82899e-05,0
1.72,0.04,1.08515,1.08519,-3.66891e-05,0
1.76,0.04,1.13111,1.13114,-3.51857e-05,0
1.8,0.04,1.17603,1.17607,-3.37718e-05,0
1.84,0.04,1.21997,1.22,-3.244e-05,0
1.88,0.04,1.26296,1.263,-3.11832e-05,0
1.92,0.04,1.30505,1.30508,-2.99938e-05,0
1.96,0.04,1.34628,1.34631,-2.88621e-05,0
2,0.04,5.52016,1.38669,4.13346,1
0,0.06,-22.5697,-5.62682,-16.9429,1
0.04,0.06,-5.21532,-5.2591,0.0437804,0
0.08,0.06,-4.58621,-4.60517,0.0189631,0
0.12,0.06,-4.01046,-4.01738,0.00692778,0
0.16,0.06,-3.53101,-3.53359,0.00257564,0
0.2,0.06,-3.13176,-3.1327,0.000941792,0
0.24,0.06,-2.79333,-2.79361,0.000278905,0
0.28,0.06,-2.50104,-2.50104,-5.77375e-06,0
0.32,0.06,-2.24445,-2.24432,-0.000130285,0
0.36,0.06,-2.01609,-2.0159,-0.000182427,0
0.4,0.06,-1.81053,-1.81033,-0.000200422,0
0.44,0.06,-1.62374,-1.62354,-0.000201974,0
0.48,0.06,-1.45263,-1.45243,-0.000195683,0
0.52,0.06,-1.29481,-1.29463,-0.000185865,0
0.56,0.06,-1.1484,-1.14822,-0.000174727,0
0.6,0.06,-1.01186,-1.0117,-0.000163399,0
0.64,0.06,-0.883976,-0.883824,-0.000152447,0
0.68,0.06,-0.763712,-0.76357,-0.000142137,0
0.72,0.06,-0.65022,-0.650088,-0.000132573,0
0.76,0.06,-0.542784,-0.54266,-0.000123772,0
0.8,0.06,-0.440794,-0.440678,-0.000115709,0
0.84,0.06,-0.343726,-0.343618,-0.000108335,0
0.88,0.06,-0.25113,-0.251029,-0.000101595,0
0.92,0.06,-0.162614,-0.162519,-9.54314e-05,0
0.96,0.06,-0.0778351,-0.0777453,-8.97876e-05,0
1,0.06,0.00350892,0.00359354,-8.4612e-05,0
1.04,0.06,0.0816844,0.0817643,-7.98571e-05,0
1.08,0.06,0.156928,0.157004,-7.54802e-05,0
1.12,0.06,0.229452,0.229523,-7.14433e-05,0
1.16,0.06,0.299444,0.299512,-6.77124e-05,0
1.2,0.06,0.367076,0.36714,-6.42576e-05,0
1.24,0.06,0.4325,0.432561,-6.10522e-05,0
1.28,0.06,0.495857,0.495915,-5.80729e-05,0
1.32,0.06,0.557272,0.557327,-5.52988e-05,0
1.36,0.06,0.616861,0.616914,-5.27116e-05,0
1.4,0.06,0.674729,0.67478,-5.02949e-05,0
1.44,0.06,0.730973,0.731021,-4.80342e-05,0
1.48,0.06,0.78568,0.785726,-4.59167e-05,0
1.52,0.06,0.838934,0.838978,-4.39308e-05,0
1.56,0.06,0.890808,0.89085,-4.20661e-05,0
